name,cca3,un_member,currencies,languages,landlocked,borders,area,population,timezones,flag_colors,population_density,GDP Per Capita,exports,imports
Singapore,SGP,True,Singapore dollar,English;Chinese;Malay;Tamil,False,,710.0,5685807,UTC+08:00,red;white,8539.4,78115.0,China;Malaysia,China;Malaysia;
Turkey,TUR,True,Turkish lira,Turkish,False,ARM;AZE;BGR;GEO;GRC;IRN;IRQ;SYR,783562.0,84339067,UTC+03:00,red;white,113.7,12985.0,Germany;United States;Iraq,Russia;China;Germany
Afghanistan,AFG,True,Afghan afghani,Dari;Pashto;Turkmen,True,IRN;PAK;TKM;UZB;TJK;CHN,652230.0,40218234,UTC+04:30,black;red;green;white,65.7,345.0,Pakistan;India;China,China;United Arab Emirates;Pakistan
United Kingdom,GBR,True,British pound,English,False,IRL,242900.0,67215293,UTC-08:00;UTC-05:00;UTC-04:00;UTC-03:00;UTC-02:00;UTC;UTC+01:00;UTC+02:00;UTC+06:00,red;white;blue,284.8,45758.0,United States;Germany;Netherlands,China;United States;Germany
Zambia,ZMB,True,Zambian kwacha,English,True,AGO;BWA;COD;MWI;MOZ;NAM;TZA;ZWE,752612.0,18383956,UTC+02:00,green;red;black;orange,28.7,1456.0,Switzerland;China;DR Congo,South Africa;China;United Arab Emirates
Finland,FIN,True,Euro,Finnish;Swedish,False,NOR;SWE;RUS,338424.0,5530719,UTC+02:00,white;blue,18.6,50988.0,United States;Sweden;Germany,Germany;Sweden;China
Niger,NER,True,West African CFA franc,French,True,DZA;BEN;BFA;TCD;LBY;MLI;NGA,1267000.0,24206636,UTC+01:00,orange;white;green,21.3,588.0,France;Mali;Nigeria,China;France;India
Guinea-Bissau,GNB,False,West African CFA franc,Portuguese;Upper Guinea Creole,False,GIN;SEN,36125.0,1967998,UTC,red;yellow;green;black,78.3,748.0,India;Chile,Portugal;Senegal;China
Azerbaijan,AZE,True,Azerbaijani manat,Azerbaijani,True,ARM;GEO;IRN;RUS;TUR,86600.0,10110116,UTC+04:00,skyblue;red;green,125.1,7600.0,Italy;Turkey;Israel,Russia;China;Turkey
Djibouti,DJI,True,Djiboutian franc,Arabic;French,False,ERI;ETH;SOM,23200.0,988002,UTC+03:00,lightblue;green;white;red,50.4,3572.0,China;United States;India,China;Saudi Arabia;United Arab Emirates
North Korea,PRK,True,North Korean won,Korean,False,CHN;KOR;RUS,120538.0,25778815,UTC+09:00,red;white;blue,220.1,590.0,China;Papua New Guinea;Senegal,China;Papua New Guinea;Togo
Mauritius,MUS,True,Mauritian rupee,English;French;Mauritian Creole,False,,2040.0,1265740,UTC+04:00,red;blue;yellow;green,626.2,9926.0,France;South Africa;United States,China;United Arab Emirates;India
Colombia,COL,True,Colombian peso,Spanish,False,BRA;ECU;PAN;PER;VEN,1141748.0,50882884,UTC-05:00,yellow;blue;red,47.1,6630.0,United States;Panama;Netherlands,United States;China;Brazil
Greece,GRC,True,Euro,Greek,False,ALB;BGR;TUR;MKD,131990.0,10715549,UTC+02:00,blue;white,76.8,20923.0,Italy;Bulgaria;Germany,Germany;China;Italy
Croatia,HRV,True,Euro,Croatian,False,BIH;HUN;MNE;SRB;SVN,56594.0,4047200,UTC+01:00,red;white;blue,69.3,17753.0,Italy;Germany;Slovenia,Italy;Germany;Slovenia
Morocco,MAR,True,Moroccan dirham,Arabic;Berber,False,DZA;ESH;ESP,446550.0,36910558,UTC,red;green,85.3,3495.0,Spain;France;India,Spain;France;China
Algeria,DZA,True,Algerian dinar,Arabic,False,TUN;LBY;NER;ESH;MRT;MLI;MAR,2381741.0,44700000,UTC+01:00,green;white;red,19.7,4274.0,Italy;France;Spain,China;France;Italy
Netherlands,NLD,True,Euro,Dutch,False,BEL;DEU,41850.0,16655799,UTC+01:00,red;white;blue,541.4,57392.0,Germany;Belgium;France,Germany;United States;Belgium
Sudan,SDN,True,Sudanese pound,Arabic;English,False,CAF;TCD;EGY;ERI;ETH;LBY;SSD,1886068.0,43849269,UTC+03:00,red;white;black;green,28.6,784.0,United Arab Emirates;China;Malaysia,United Arab Emirates;India;Saudi Arabia
Fiji,FJI,True,Fijian dollar,English;Fijian;Fiji Hindi,False,,18272.0,896444,UTC+12:00,lightblue,50.8,5356.0,United States;Australia,Singapore;China;Australia
Liechtenstein,LIE,True,Swiss franc,German,True,AUT;CHE,160.0,38137,UTC+01:00,blue;red,249.2,197268.0,,
Nepal,NPL,True,Nepalese rupee,Nepali,True,CHN;IND,147181.0,29136808,UTC+05:45,crimson;blue;white,201.5,1290.0,India;United States;Germany,India;China;Indonesia
Georgia,GEO,True,lari,Georgian,False,ARM;AZE;RUS;TUR,69700.0,3714000,UTC+04:00,red;white,54.8,6571.0,Azerbaijan;Armenia;Kazakhstan,Turkey;United States;Russia
Pakistan,PAK,True,Pakistani rupee,English;Urdu,False,AFG;CHN;IND;IRN,881912.0,220892331,UTC+05:00,green;white,326.0,1386.0,United States;China;United Kingdom,China;United Arab Emirates;Saudi Arabia
