name,cca3,un_member,currencies,languages,landlocked,borders,area,population,timezones,flag_colors
Mauritania,MRT,True,Mauritanian ouguiya,Arabic,False,DZA;MLI;SEN;ESH,1030700.0,4649660,UTC,green;yellow;red
Lithuania,LTU,True,Euro,Lithuanian,False,BLR;LVA;POL;RUS,65300.0,2794700,UTC+02:00,yellow;green;red
Slovakia,SVK,True,Euro,Slovak,True,AUT;CZE;HUN;POL;UKR,49037.0,5458827,UTC+01:00,white;blue;red
Angola,AGO,True,Angolan kwanza,Portuguese,False,COG;COD;ZMB;NAM,1246700.0,32866268,UTC+01:00,red;black;yellow
Kazakhstan,KAZ,True,Kazakhstani tenge,Kazakh;Russian,True,CHN;KGZ;RUS;TKM;UZB,2724900.0,18754440,UTC+05:00;UTC+06:00,blue;gold
Moldova,MDA,True,Moldovan leu,Romanian,True,ROU;UKR,33846.0,2617820,UTC+02:00,blue;yellow;red
Mali,MLI,True,West African CFA franc,French,True,DZA;BFA;GIN;CIV;MRT;NER;SEN,1240192.0,20250834,UTC,green;yellow;red
Armenia,ARM,True,Armenian dram,Armenian,True,AZE;GEO;IRN;TUR,29743.0,2963234,UTC+04:00,red;blue;orange
Samoa,WSM,True,Samoan tālā,English;Samoan,False,,2842.0,198410,UTC+13:00,red;white;blue
Japan,JPN,True,Japanese yen,Japanese,False,,377930.0,125836021,UTC+09:00,red;white
Bolivia,BOL,True,Bolivian boliviano,Aymara;Guaraní;Quechua;Spanish,True,ARG;BRA;CHL;PRY;PER,1098581.0,11673029,UTC-04:00,red;yellow;green
Chile,CHL,True,Chilean peso,Spanish,False,ARG;BOL;PER,756102.0,19116209,UTC-06:00;UTC-04:00,red;white;blue
United States,USA,True,United States dollar,English,False,CAN;MEX,9372610.0,329484123,UTC-12:00;UTC-11:00;UTC-10:00;UTC-09:00;UTC-08:00;UTC-07:00;UTC-06:00;UTC-05:00;UTC-04:00;UTC+10:00;UTC+12:00,red;white;blue
Saint Vincent and the Grenadines,VCT,True,Eastern Caribbean dollar,English,False,,389.0,110947,UTC-04:00,blue;yellow;green
Seychelles,SYC,True,Seychellois rupee,Seychellois Creole;English;French,False,,452.0,98462,UTC+04:00,blue;yellow;red;white;green
Guatemala,GTM,True,Guatemalan quetzal,Spanish,False,BLZ;SLV;HND;MEX,108889.0,16858333,UTC-06:00,blue;white
Ecuador,ECU,True,United States dollar,Spanish,False,COL;PER,276841.0,17643060,UTC-06:00;UTC-05:00,yellow;blue;red
Tajikistan,TJK,True,Tajikistani somoni,Russian;Tajik,True,AFG;CHN;KGZ;UZB,143100.0,9537642,UTC+05:00,red;white;green
Malta,MLT,True,Euro,English;Maltese,False,,316.0,525285,UTC+01:00,red;white
Gambia,GMB,True,dalasi,English,False,SEN,10689.0,2416664,UTC+00:00,red;blue;green;white
Nigeria,NGA,True,Nigerian naira,English,False,BEN;CMR;TCD;NER,923768.0,206139587,UTC+01:00,green;white
Bahamas,BHS,True,Bahamian dollar;United States dollar,English,False,,13943.0,393248,UTC-05:00,aquamarine;yellow;black
Kuwait,KWT,True,Kuwaiti dinar,Arabic,False,IRQ;SAU,17818.0,4270563,UTC+03:00,green;white;red;black
Maldives,MDV,True,Maldivian rufiyaa,Maldivian,False,,300.0,540542,UTC+05:00,red;white
South Sudan,SSD,True,South Sudanese pound,English,True,CAF;COD;ETH;KEN;SDN;UGA,619745.0,11193729,UTC+03:00,black;red;green;blue;yellow;white
Iran,IRN,True,Iranian rial,Persian (Farsi),False,AFG;ARM;AZE;IRQ;PAK;TUR;TKM,1648195.0,83992953,UTC+03:30,green;white;red
Albania,ALB,True,Albanian lek,Albanian,False,MNE;GRC;MKD;UNK,28748.0,2837743,UTC+01:00,red;black
Brazil,BRA,True,Brazilian real,Portuguese,False,ARG;BOL;COL;GUF;GUY;PRY;PER;SUR;URY;VEN,8515767.0,212559409,UTC-05:00;UTC-04:00;UTC-03:00;UTC-02:00,green;yellow
Serbia,SRB,True,Serbian dinar,Serbian,True,BIH;BGR;HRV;HUN;UNK;MKD;MNE;ROU,88361.0,6908224,UTC+01:00,red;blue;white
Belize,BLZ,True,Belize dollar,Belizean Creole;English;Spanish,False,GTM;MEX,22966.0,397621,UTC-06:00,blue;red;white
Myanmar,MMR,True,Burmese kyat,Burmese,False,BGD;CHN;IND;LAO;THA,676578.0,54409794,UTC+06:30,yellow;green;red;white
Bhutan,BTN,True,Bhutanese ngultrum;Indian rupee,Dzongkha,True,CHN;IND,38394.0,771612,UTC+06:00,orange;gold;white
Venezuela,VEN,True,Venezuelan bolívar soberano,Spanish,False,BRA;COL;GUY,916445.0,28435943,UTC-04:00,yellow;blue;red
Liberia,LBR,True,Liberian dollar,English,False,GIN;CIV;SLE,111369.0,5057677,UTC,red;white;blue
Jamaica,JAM,True,Jamaican dollar,English;Jamaican Patois,False,,10991.0,2961161,UTC-05:00,green;gold;black
Poland,POL,True,Polish złoty,Polish,False,BLR;CZE;DEU;LTU;RUS;SVK;UKR,312679.0,37950802,UTC+01:00,white;red
Brunei,BRN,True,Brunei dollar;Singapore dollar,Malay,False,MYS,5765.0,437483,UTC+08:00,yellow;black;white;red
Comoros,COM,True,Comorian franc,Arabic;French;Comorian,False,,1862.0,869595,UTC+03:00,yellow;white;red;blue;green
Tonga,TON,True,Tongan paʻanga,English;Tongan,False,,747.0,105697,UTC+13:00,red;white
Kiribati,KIR,True,Australian dollar;Kiribati dollar,English;Gilbertese,False,,811.0,119446,UTC+12:00;UTC+13:00;UTC+14:00,red;gold;blue;white
Ghana,GHA,True,Ghanaian cedi,English,False,BFA;CIV;TGO,238533.0,31072945,UTC,red;yellow;green;black
Chad,TCD,True,Central African CFA franc,Arabic;French,True,CMR;CAF;LBY;NER;NGA;SDN,1284000.0,16425859,UTC+01:00,blue;yellow;red
Zimbabwe,ZWE,True,Zimbabwean dollar,Chibarwe;English;Kalanga;Khoisan;Ndau;Northern Ndebele;Chewa;Shona;Sotho;Tonga;Tswana;Tsonga;Venda;Xhosa;Zimbabwean Sign Language,True,BWA;MOZ;ZAF;ZMB,390757.0,14862927,UTC+02:00,green;yellow;red;black;white
Mongolia,MNG,True,Mongolian tögrög,Mongolian,True,CHN;RUS,1564110.0,3278292,UTC+07:00;UTC+08:00,blue;red;yellow
Portugal,PRT,True,Euro,Portuguese,False,ESP,92090.0,10305564,UTC-01:00;UTC,green;red
Belgium,BEL,True,Euro,German;French;Dutch,False,FRA;DEU;LUX;NLD,30528.0,11555997,UTC+01:00,red
Israel,ISR,True,Israeli new shekel,Arabic;Hebrew,False,EGY;JOR;LBN;PSE;SYR,20770.0,9216900,UTC+02:00,blue;white
New Zealand,NZL,True,New Zealand dollar,English;Māori;New Zealand Sign Language,False,,270467.0,5084300,UTC-11:00;UTC-10:00;UTC+12:00;UTC+12:45;UTC+13:00,blue;red;white
Nicaragua,NIC,True,Nicaraguan córdoba,Spanish,False,CRI;HND,130373.0,6624554,UTC-06:00,blue;white
